,ID,Date,Tournament,Round,Tournament_level,Surface,Rank,Rival_rank,Rival_hand,Rival_name,Result,Score,Aces,Double_faults,First_serve_accuracy,First_serve_points,Second_serve_points,Total_serve_points_won,Breakpoints_saved,Breakpoints_todefend,Breakpoints_saved_ratio,Return_1st_serve_points,Return_2nd_serve_points,Total_return_points,Breakpoints_converted,Breakpoints_created,Breakpoints_converted_ratio,Total_points,Service_games_won,Service_games_won_ratio,Return_games_won,Return_games_won_ratio,Total_games,Total_games_ratio,Sets,Tiebreak_played,Tiebreak_won,Startdate,Finaldate
0,ReillyOpelka,2020-08-24,Cincinnati_New York,Quarters,Masters,Hard,39,6,Right,Stefanos Tsitsipas,Lose,"6-5, RET",4,2,0.54,0.75,0.65,0.70,2,2,1.00,0.07,0.22,0.13,0,0,,0.48,6/6,1.00,0/5,0.00,6/11,0.55,1,0,0,2020-08-22,2020-08-31
1,ReillyOpelka,2020-08-24,Cincinnati_New York,R16,Masters,Hard,39,8,Right,Matteo Berrettini,Win,"6-3, 7-6(4)",19,1,0.60,0.94,0.70,0.84,0,0,,0.18,0.37,0.25,1,1,1.00,0.56,11/11,1.00,1/10,0.10,12/21,0.57,2,1,1,2020-08-22,2020-08-31
2,ReillyOpelka,2020-08-24,Cincinnati_New York,R32,Masters,Hard,39,13,Right,Diego Sebastian Schwartzman,Win,"6-3, 7-6(4)",13,6,0.53,0.80,0.44,0.64,5,7,0.71,0.23,0.58,0.36,3,4,0.75,0.51,9/11,0.82,3/10,0.30,12/21,0.57,2,1,1,2020-08-22,2020-08-31
3,ReillyOpelka,2020-08-24,Cincinnati_New York,R64,Masters,Hard,39,77,Left,Cameron Norrie,Win,"6-3, 6-4",18,3,0.64,0.73,0.65,0.70,2,2,1.00,0.29,0.33,0.31,2,4,0.50,0.53,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-08-22,2020-08-31
4,ReillyOpelka,2020-03-06,Davis Cup QLS R1: USA vs UZB,Other,Davis Cup,Hard,38,156,Right,Denis Istomin,Win,"6-2, 7-5",10,1,0.53,0.93,0.62,0.78,1,1,1.00,0.36,0.53,0.41,3,7,0.43,0.58,10/10,1.00,3/10,0.30,13/20,0.65,2,0,0,2020-03-04,2020-03-13
5,ReillyOpelka,2020-02-17,Delray Beach,Final,ATP,Hard,54,63,Left,Yoshihito Nishioka,Win,"7-5, 6-7(4), 6-2",27,3,0.71,0.87,0.36,0.72,3,4,0.75,0.38,0.28,0.35,4,12,0.33,0.53,15/16,0.94,4/16,0.25,19/32,0.59,3,1,0,2020-02-15,2020-02-24
6,ReillyOpelka,2020-02-17,Delray Beach,Semis,ATP,Hard,54,37,Right,Milos Raonic,Win,"4-6, 7-6(6), 6-3",19,6,0.64,0.86,0.47,0.72,1,2,0.50,0.22,0.58,0.33,2,3,0.67,0.52,14/15,0.93,2/16,0.12,16/31,0.52,3,1,1,2020-02-15,2020-02-24
7,ReillyOpelka,2020-02-17,Delray Beach,Quarters,ATP,Hard,54,82,Right,Soon Woo Kwon,Win,"6-3, 6-4",16,0,0.72,0.79,0.67,0.75,0,0,,0.32,0.40,0.35,2,4,0.50,0.57,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-02-15,2020-02-24
8,ReillyOpelka,2020-02-17,Delray Beach,R16,ATP,Hard,54,159,Right,Mackenzie Mcdonald,Win,"6-3, 6-4",17,0,0.72,0.89,0.64,0.82,2,2,1.00,0.24,0.40,0.31,2,3,0.67,0.57,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-02-15,2020-02-24
9,ReillyOpelka,2020-02-17,Delray Beach,R32,ATP,Hard,54,224,Right,Ernests Gulbis,Win,"6-7(5), 6-4, 7-6(4)",20,1,0.66,0.88,0.62,0.79,1,1,1.00,0.23,0.41,0.30,1,8,0.12,0.52,17/17,1.00,1/17,0.06,18/34,0.53,3,2,1,2020-02-15,2020-02-24
10,ReillyOpelka,2020-02-10,New York,Quarters,ATP,Hard,40,131,Right,Jason Jung,Lose,"7-5, 4-6, 4-6",24,3,0.60,0.75,0.58,0.68,5,7,0.71,0.20,0.35,0.27,1,4,0.25,0.48,14/16,0.88,1/16,0.06,15/32,0.47,3,0,0,2020-02-08,2020-02-17
11,ReillyOpelka,2020-02-10,New York,R16,ATP,Hard,40,64,Left,Yoshihito Nishioka,Win,"6-4, 6-4",20,2,0.72,0.78,0.53,0.71,4,4,1.00,0.38,0.30,0.37,2,6,0.33,0.55,10/10,1.00,2/10,0.20,12/20,0.60,2,0,0,2020-02-08,2020-02-17
12,ReillyOpelka,2020-01-20,Australian Open,R128,Grand Slams,Hard,38,12,Right,Fabio Fognini,Lose,"6-3, 7-6(3), 4-6, 3-6, 6-7(5)",35,4,0.70,0.75,0.54,0.68,3,6,0.50,0.24,0.27,0.25,1,5,0.20,0.48,23/26,0.88,1/26,0.04,24/52,0.46,5,2,1,2020-01-18,2020-02-03
13,ReillyOpelka,2020-01-13,Adelaide,R32,ATP,Hard,38,44,Right,Pablo Cuevas,Lose,"7-5, 6-7(9), 6-7(2)",36,5,0.63,0.89,0.68,0.81,0,0,,0.15,0.38,0.22,1,4,0.25,0.50,18/18,1.00,1/18,0.06,19/36,0.53,3,2,0,2020-01-11,2020-01-20
14,ReillyOpelka,2019-11-20,Davis Cup Finals RR: USA vs ITA,Other,Davis Cup,Hard,36,12,Right,Fabio Fognini,Lose,"4-6, 7-6(4), 3-6",23,1,0.69,0.80,0.52,0.71,1,3,0.33,0.13,0.29,0.19,0,0,,0.46,13/15,0.87,0/16,0.00,13/31,0.42,3,1,1,2019-11-18,2019-11-27
15,ReillyOpelka,2019-11-19,Davis Cup Finals RR: USA vs CAN,Other,Davis Cup,Hard,36,150,Right,Vasek Pospisil,Lose,"6-7(5), 6-7(7)",28,4,0.68,0.91,0.48,0.77,2,2,1.00,0.17,0.48,0.27,0,3,0.00,0.51,12/12,1.00,0/12,0.00,12/24,0.50,2,2,0,2019-11-17,2019-11-26
16,ReillyOpelka,2019-10-21,Basel,Semis,ATP,Hard,37,28,Right,Alex De Minaur,Lose,"6-7(2), 7-6(4), 6-7(3)",26,3,0.59,0.76,0.61,0.70,1,2,0.50,0.15,0.26,0.20,1,2,0.50,0.46,17/18,0.94,1/18,0.06,18/36,0.50,3,3,1,2019-10-19,2019-10-28
17,ReillyOpelka,2019-10-21,Basel,Quarters,ATP,Hard,37,10,Right,Roberto Bautista Agut,Win,"6-3, 3-6, 6-3",31,5,0.70,0.91,0.22,0.70,3,5,0.60,0.15,0.50,0.29,3,4,0.75,0.51,12/14,0.86,3/13,0.23,15/27,0.56,3,0,0,2019-10-19,2019-10-28
18,ReillyOpelka,2019-10-21,Basel,R16,ATP,Hard,37,13,Right,David Goffin,Win,"6-7(4), 7-6(4), 7-5",29,8,0.62,0.84,0.60,0.75,2,2,1.00,0.11,0.40,0.24,1,1,1.00,0.50,18/18,1.00,1/18,0.06,19/36,0.53,3,2,1,2019-10-19,2019-10-28
19,ReillyOpelka,2019-10-21,Basel,R32,ATP,Hard,37,38,Right,Christian Garin,Win,"7-6(5), 7-6(10)",27,1,0.68,0.98,0.60,0.86,0,0,,0.08,0.11,0.09,0,0,,0.49,12/12,1.00,0/12,0.00,12/24,0.50,2,2,2,2019-10-19,2019-10-28
20,ReillyOpelka,2019-10-14,Stockholm,R32,ATP,Hard,37,83,Unknown,Stefano Travaglia,Lose,"5-7, 6-4, 4-6",30,5,0.67,0.82,0.47,0.70,4,6,0.67,0.07,0.39,0.23,1,2,0.50,0.48,14/16,0.88,1/16,0.06,15/32,0.47,3,0,0,2019-10-12,2019-10-21
21,ReillyOpelka,2019-10-07,Shanghai,R32,Masters,Hard,40,10,Right,Roberto Bautista Agut,Lose,"4-6, 5-7",18,0,0.64,0.70,0.48,0.62,2,4,0.50,0.14,0.26,0.18,0,1,0.00,0.43,9/11,0.82,0/11,0.00,9/22,0.41,2,0,0,2019-10-05,2019-10-14
22,ReillyOpelka,2019-10-07,Shanghai,R64,Masters,Hard,40,31,Right,Dusan Lajovic,Win,"6-3, 6-4",12,0,0.69,0.89,0.69,0.82,0,0,,0.33,0.64,0.38,2,2,1.00,0.59,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2019-10-05,2019-10-14
23,ReillyOpelka,2019-09-30,Tokyo,Semis,ATP,Hard,53,80,Right,John Millman,Lose,"3-6, 6-7(4)",13,4,0.61,0.71,0.58,0.66,4,5,0.80,0.14,0.48,0.28,0,2,0.00,0.46,9/10,0.90,0/11,0.00,9/21,0.43,2,1,0,2019-09-28,2019-10-07
24,ReillyOpelka,2019-09-30,Tokyo,Quarters,ATP,Hard,53,136,Right,Yasutaka Uchiyama,Win,"6-3, 6-3",16,2,0.69,0.82,0.60,0.76,0,0,,0.25,0.56,0.39,3,10,0.30,0.56,9/9,1.00,3/9,0.33,12/18,0.67,2,0,0,2019-09-28,2019-10-07
25,ReillyOpelka,2019-09-30,Tokyo,R16,ATP,Hard,53,50,Right,Gilles Simon,Win,"7-6(4), 7-6(2)",19,2,0.72,0.78,0.50,0.70,3,4,0.75,0.27,0.52,0.34,1,4,0.25,0.53,11/12,0.92,1/12,0.08,12/24,0.50,2,2,2,2019-09-28,2019-10-07
26,ReillyOpelka,2019-09-30,Tokyo,R32,ATP,Hard,53,31,Right,Taylor Harry Fritz,Win,"6-3, 6-4",16,0,0.70,0.78,0.71,0.75,1,1,1.00,0.21,0.52,0.35,2,4,0.50,0.56,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2019-09-28,2019-10-07
27,ReillyOpelka,2019-08-26,US Open,R64,Grand Slams,Hard,42,118,Left,Dominik Koepfer,Lose,"4-6, 4-6, 6-7(2)",24,1,0.62,0.76,0.37,0.61,3,6,0.50,0.25,0.45,0.33,1,8,0.12,0.46,13/16,0.81,1/16,0.06,14/32,0.44,3,1,0,2019-08-24,2019-09-09
28,ReillyOpelka,2019-08-26,US Open,R128,Grand Slams,Hard,42,11,Right,Fabio Fognini,Win,"6-3, 6-4, 6-7(6), 6-3",26,4,0.57,0.79,0.58,0.70,5,7,0.71,0.21,0.51,0.35,5,15,0.33,0.53,20/22,0.91,5/19,0.26,25/41,0.61,4,1,0,2019-08-24,2019-09-09
29,ReillyOpelka,2019-08-12,Cincinnati,R32,Masters,Hard,42,38,Right,Alex De Minaur,Lose,"6-7(3), 4-6",9,4,0.59,0.70,0.68,0.69,0,1,0.00,0.18,0.19,0.18,0,2,0.00,0.45,10/11,0.91,0/11,0.00,10/22,0.45,2,1,0,2019-08-10,2019-08-19
30,ReillyOpelka,2019-08-12,Cincinnati,R64,Masters,Hard,42,13,Right,Borna Coric,Win,"4-6, 6-3, 7-5",27,3,0.63,0.78,0.55,0.69,10,11,0.91,0.21,0.48,0.29,2,7,0.29,0.51,15/16,0.94,2/15,0.13,17/31,0.55,3,0,0,2019-08-10,2019-08-19
31,ReillyOpelka,2019-07-29,Washington,R32,ATP,Hard,43,22,Right,Felix Auger Aliassime,Lose,"4-6, 6-3, 4-6",22,1,0.70,0.79,0.58,0.72,2,4,0.50,0.11,0.48,0.23,1,2,0.50,0.49,13/15,0.87,1/14,0.07,14/29,0.48,3,0,0,2019-07-27,2019-08-05
32,ReillyOpelka,2019-07-29,Washington,R64,ATP,Hard,43,178,Right,Christopher Eubanks,Win,"6-4, 7-6(3)",16,5,0.58,0.87,0.64,0.77,3,3,1.00,0.14,0.32,0.20,1,2,0.50,0.51,11/11,1.00,1/11,0.09,12/22,0.55,2,1,1,2019-07-27,2019-08-05
33,ReillyOpelka,2019-07-22,Atlanta,Semis,ATP,Hard,57,34,Right,Alex De Minaur,Lose,"6-7(4), 7-6(5), 3-6",28,5,0.57,0.76,0.53,0.66,7,9,0.78,0.04,0.41,0.23,0,0,,0.47,15/17,0.88,0/16,0.00,15/33,0.45,3,2,1,2019-07-20,2019-07-29
34,ReillyOpelka,2019-07-22,Atlanta,Quarters,ATP,Hard,57,55,Right,Daniel Evans,Win,"7-6(3), 7-5",23,2,0.64,0.82,0.64,0.75,0,0,,0.23,0.40,0.28,1,3,0.33,0.52,12/12,1.00,1/12,0.08,13/24,0.54,2,1,1,2019-07-20,2019-07-29
35,ReillyOpelka,2019-07-22,Atlanta,R16,ATP,Hard,57,14,Right,John Isner,Win,"7-6(2), 6-7(5), 7-6(5)",31,3,0.59,0.91,0.67,0.81,3,3,1.00,0.11,0.45,0.23,0,2,0.00,0.52,18/18,1.00,0/18,0.00,18/36,0.50,3,3,2,2019-07-20,2019-07-29
36,ReillyOpelka,2019-07-22,Atlanta,R32,ATP,Hard,57,71,Right,Alexander Bublik,Win,"6-3, 7-6(1)",17,3,0.63,0.82,0.68,0.77,0,1,0.00,0.42,0.50,0.44,2,12,0.17,0.58,10/11,0.91,2/10,0.20,12/21,0.57,2,1,1,2019-07-20,2019-07-29
37,ReillyOpelka,2019-07-01,Wimbledon,R32,Grand Slams,Grass,63,17,Right,Milos Raonic,Lose,"6-7(1), 2-6, 1-6",13,5,0.68,0.58,0.50,0.56,6,10,0.60,0.07,0.39,0.15,0,3,0.00,0.37,10/14,0.71,0/14,0.00,10/28,0.36,3,1,0,2019-06-29,2019-07-15
38,ReillyOpelka,2019-07-01,Wimbledon,R64,Grand Slams,Grass,63,19,Right,Stanislas Wawrinka,Win,"7-5, 3-6, 4-6, 6-4, 8-6",23,2,0.71,0.72,0.66,0.70,10,12,0.83,0.18,0.37,0.26,3,10,0.30,0.49,25/27,0.93,3/28,0.11,28/55,0.51,5,0,0,2019-06-29,2019-07-15
39,ReillyOpelka,2019-07-01,Wimbledon,R128,Grand Slams,Grass,63,518,Left,Cedrik Marcel Stebe,Win,"6-3, 7-6(4), 6-1",11,3,0.64,0.78,0.58,0.71,5,6,0.83,0.41,0.44,0.43,6,16,0.38,0.56,12/13,0.92,6/16,0.38,18/29,0.62,3,1,1,2019-06-29,2019-07-15
40,ReillyOpelka,2019-06-24,Eastbourne,R32,ATP,Grass,61,69,Right,Steve Johnson,Lose,"6-7(4), 3-6",13,2,0.59,0.73,0.41,0.60,0,3,0.00,0.18,0.53,0.29,1,1,1.00,0.46,8/11,0.73,1/10,0.10,9/21,0.43,2,1,0,2019-06-22,2019-07-01
41,ReillyOpelka,2019-05-27,Roland Garros,R128,Grand Slams,Clay,59,37,Right,Christian Garin,Lose,"6-7(0), 5-7, 6-7(7)",18,5,0.61,0.77,0.47,0.65,7,8,0.88,0.26,0.38,0.30,0,6,0.00,0.48,17/18,0.94,0/18,0.00,17/36,0.47,3,2,0,2019-05-25,2019-06-10
42,ReillyOpelka,2019-05-20,Lyon,R32,ATP,Clay,58,117,Left,Corentin Moutet,Lose,"3-6, 6-2, 6-7(10)",18,9,0.54,0.83,0.41,0.64,3,6,0.50,0.39,0.33,0.38,3,9,0.33,0.50,12/15,0.80,3/14,0.21,15/29,0.52,3,1,0,2019-05-18,2019-05-27
43,ReillyOpelka,2019-05-13,Rome,Q2,Masters,Clay,53,46,Right,Benoit Paire,Lose,"7-5, 2-6, 6-7(5)",17,5,0.64,0.76,0.41,0.63,6,9,0.67,0.20,0.46,0.32,2,5,0.40,0.49,13/16,0.81,2/16,0.12,15/32,0.47,3,1,0,2019-05-11,2019-05-20
44,ReillyOpelka,2019-05-13,Rome,Q1,Masters,Clay,53,74,Right,Ernests Gulbis,Win,"7-6(6), 6-3",11,3,0.63,0.70,0.62,0.67,4,5,0.80,0.17,0.58,0.36,3,7,0.43,0.52,9/10,0.90,3/11,0.27,12/21,0.57,2,1,1,2019-05-11,2019-05-20
45,ReillyOpelka,2019-05-06,Madrid,R32,Masters,Clay,58,5,Right,Dominic Thiem,Lose,"7-6(2), 3-6, 0-1, RET",12,2,0.62,0.73,0.50,0.64,3,5,0.60,0.22,0.36,0.25,0,2,0.00,0.46,9/11,0.82,0/11,0.00,9/22,0.41,3,1,1,2019-05-04,2019-05-13
46,ReillyOpelka,2019-05-06,Madrid,R64,Masters,Clay,58,42,Right,Pablo Carreno Busta,Win,"7-6(5), 6-4",14,3,0.61,0.87,0.64,0.78,1,1,1.00,0.22,0.43,0.28,1,2,0.50,0.53,11/11,1.00,1/11,0.09,12/22,0.55,2,1,1,2019-05-04,2019-05-13
47,ReillyOpelka,2019-05-06,Madrid,Q2,Masters,Clay,58,77,Right,Juan Ignacio Londero,Win,"7-6(7), 5-7, 6-2",25,5,0.59,0.81,0.65,0.74,3,4,0.75,0.18,0.43,0.26,2,2,1.00,0.52,15/16,0.94,2/16,0.12,17/32,0.53,3,1,1,2019-05-04,2019-05-13
48,ReillyOpelka,2019-05-06,Madrid,Q1,Masters,Clay,58,98,Left,Mischa Zverev,Win,"7-6(2), 7-6(3)",20,2,0.66,0.82,0.73,0.79,2,2,1.00,0.13,0.48,0.28,0,4,0.00,0.53,12/12,1.00,0/12,0.00,12/24,0.50,2,2,2,2019-05-04,2019-05-13
49,ReillyOpelka,2019-04-29,Estoril,R16,ATP,Clay,59,18,Right,Gael Monfils,Lose,"6-3, 3-6, 0-6",5,3,0.67,0.53,0.62,0.56,2,6,0.33,0.30,0.58,0.35,1,10,0.10,0.44,8/12,0.67,1/12,0.08,9/24,0.38,3,0,0,2019-04-27,2019-05-06
50,ReillyOpelka,2019-04-29,Estoril,R32,ATP,Clay,59,107,Right,Pedro Sousa,Win,"7-6(2), 6-4",13,4,0.63,0.84,0.55,0.73,0,1,0.00,0.29,0.67,0.38,2,8,0.25,0.54,10/11,0.91,2/11,0.18,12/22,0.55,2,1,1,2019-04-27,2019-05-06
51,ReillyOpelka,2019-04-22,Barcelona,R64,ATP,Clay,59,58,Right,Taylor Harry Fritz,Lose,"3-6, 4-6",7,6,0.63,0.83,0.47,0.70,2,4,0.50,0.23,0.28,0.25,0,0,,0.45,7/9,0.78,0/10,0.00,7/19,0.37,2,0,0,2019-04-20,2019-04-29
52,ReillyOpelka,2019-04-08,Houston,R16,ATP,Clay,56,95,Right,Casper Ruud,Lose,"6-4, 4-6, 4-6",16,5,0.59,0.83,0.56,0.72,0,2,0.00,0.19,0.36,0.24,1,4,0.25,0.47,13/15,0.87,1/15,0.07,14/30,0.47,3,0,0,2019-04-06,2019-04-15
53,ReillyOpelka,2019-03-18,Miami,R32,Masters,Hard,58,15,Right,Daniil Medvedev,Lose,"6-7(5), 7-6(5), 6-7(0)",22,3,0.67,0.86,0.54,0.76,2,2,1.00,0.09,0.31,0.18,0,2,0.00,0.47,18/18,1.00,0/18,0.00,18/36,0.50,3,3,1,2019-03-18,2019-04-01
54,ReillyOpelka,2019-03-18,Miami,R64,Masters,Hard,58,24,Right,Diego Sebastian Schwartzman,Win,"6-4, 3-6, 6-4",8,1,0.55,0.72,0.41,0.58,8,12,0.67,0.37,0.44,0.39,4,12,0.33,0.49,11/15,0.73,4/14,0.29,15/29,0.52,3,0,0,2019-03-18,2019-04-01
55,ReillyOpelka,2019-03-18,Miami,R128,Masters,Hard,58,45,Right,Jan Lennard Struff,Win,"4-6, 6-3, 6-4",25,3,0.68,0.82,0.54,0.73,1,2,0.50,0.11,0.38,0.23,2,6,0.33,0.50,14/15,0.93,2/14,0.14,16/29,0.55,3,0,0,2019-03-18,2019-04-01
56,ReillyOpelka,2019-03-18,Miami,Q2,Masters,Hard,58,111,Right,Marcel Granollers,Win,"6-3, 7-6(4)",15,3,0.60,0.81,0.62,0.74,2,2,1.00,0.21,0.29,0.24,1,2,0.50,0.52,11/11,1.00,1/10,0.10,12/21,0.57,2,1,1,2019-03-18,2019-03-17
57,ReillyOpelka,2019-03-18,Miami,Q1,Masters,Hard,58,128,Right,Henri Laaksonen,Win,"7-6(7), 7-6(3)",22,5,0.56,0.86,0.38,0.65,7,10,0.70,0.37,0.33,0.35,3,8,0.38,0.51,9/12,0.75,3/12,0.25,12/24,0.50,2,2,2,2019-03-18,2019-03-17
58,ReillyOpelka,2019-03-04,Indian Wells,R128,Masters,Hard,59,56,Right,Leonardo Mayer,Lose,"6-7(6), 6-7(2)",14,4,0.62,0.81,0.48,0.68,0,1,0.00,0.22,0.34,0.27,1,7,0.14,0.46,11/12,0.92,1/12,0.08,12/24,0.50,2,2,0,2019-03-04,2019-03-18
59,ReillyOpelka,2019-02-18,Delray Beach,R16,ATP,Hard,56,4,Right,Juan Martin Del Potro,Lose,"4-6, 4-6",18,2,0.69,0.84,0.29,0.67,0,2,0.00,0.24,0.31,0.26,0,0,,0.46,8/10,0.80,0/10,0.00,8/20,0.40,2,0,0,2019-02-16,2019-02-25
60,ReillyOpelka,2019-02-18,Delray Beach,R32,ATP,Hard,56,79,Right,Tennys Sandgren,Win,"6-4, 6-0",8,2,0.58,0.89,0.55,0.75,1,1,1.00,0.41,0.52,0.47,4,6,0.67,0.62,8/8,1.00,4/8,0.50,12/16,0.75,2,0,0,2019-02-16,2019-02-25
61,ReillyOpelka,2019-02-11,New York,Final,ATP,Hard,89,154,Right,Brayden Schnur,Win,"6-1, 6-7(7), 7-6(7)",43,2,0.74,0.88,0.58,0.81,0,0,,0.30,0.35,0.31,2,10,0.20,0.55,16/16,1.00,2/15,0.13,18/31,0.58,3,2,1,2019-02-09,2019-02-18
62,ReillyOpelka,2019-02-11,New York,Semis,ATP,Hard,89,9,Right,John Isner,Win,"6-7(8), 7-6(14), 7-6(4)",43,1,0.75,0.91,0.76,0.87,1,1,1.00,0.16,0.40,0.19,0,2,0.00,0.52,18/18,1.00,0/18,0.00,18/36,0.50,3,3,2,2019-02-09,2019-02-18
63,ReillyOpelka,2019-02-11,New York,Quarters,ATP,Hard,89,102,Right,Guillermo Garcia Lopez,Win,"6-3, 6-4",14,0,0.65,0.83,0.68,0.78,1,1,1.00,0.23,0.50,0.34,2,6,0.33,0.55,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2019-02-09,2019-02-18
64,ReillyOpelka,2019-02-11,New York,R16,ATP,Hard,89,106,Right,Denis Istomin,Win,"6-7(8), 7-6(6), 1-0, RET",32,3,0.73,0.95,0.50,0.83,2,2,1.00,0.13,0.43,0.18,0,0,,0.51,13/13,1.00,0/12,0.00,13/25,0.52,3,2,1,2019-02-09,2019-02-18
65,ReillyOpelka,2019-02-11,New York,R32,ATP,Hard,89,48,Left,Adrian Mannarino,Win,"2-6, 7-6(5), 6-4",24,4,0.67,0.82,0.40,0.68,2,4,0.50,0.28,0.43,0.33,1,6,0.17,0.49,13/15,0.87,1/15,0.07,14/30,0.47,3,1,1,2019-02-09,2019-02-18
66,ReillyOpelka,2019-02-04,Dallas,Semis,Challengers,Hard,98,91,Right,Mackenzie Mcdonald,Lose,"4-6, 6-7(13)",18,6,0.59,0.78,0.49,0.66,1,2,0.50,0.16,0.22,0.18,0,1,0.00,0.44,10/11,0.91,0/11,0.00,10/22,0.45,2,1,0,2019-02-02,2019-02-11
67,ReillyOpelka,2019-02-04,Dallas,Quarters,Challengers,Hard,98,167,Left,Dominik Koepfer,Win,"7-6(9), 3-6, 7-6(12)",20,2,0.67,0.77,0.61,0.72,2,4,0.50,0.25,0.47,0.32,1,6,0.17,0.51,14/16,0.88,1/17,0.06,15/33,0.45,3,2,2,2019-02-02,2019-02-11
68,ReillyOpelka,2019-02-04,Dallas,R16,Challengers,Hard,98,221,Left,Thomaz Bellucci,Win,"6-4, 6-4",20,2,0.71,0.88,0.35,0.73,2,2,1.00,0.25,0.55,0.36,2,4,0.50,0.55,10/10,1.00,2/10,0.20,12/20,0.60,2,0,0,2019-02-02,2019-02-11
69,ReillyOpelka,2019-02-04,Dallas,R32,Challengers,Hard,98,286,Right,Jan Choinski,Win,"4-6, 6-3, 6-4",26,8,0.59,0.87,0.53,0.73,2,3,0.67,0.15,0.50,0.27,2,5,0.40,0.52,14/15,0.93,2/14,0.14,16/29,0.55,3,0,0,2019-02-02,2019-02-11
70,ReillyOpelka,2019-01-14,Australian Open,R64,Grand Slams,Hard,97,102,Right,Thomas Fabbiano,Lose,"7-6(15), 2-6, 4-6, 6-3, 6-7(5)",67,8,0.64,0.85,0.43,0.70,2,5,0.40,0.20,0.52,0.27,1,5,0.20,0.49,22/25,0.88,1/26,0.04,23/51,0.45,5,2,1,2019-01-12,2019-01-28
71,ReillyOpelka,2019-01-14,Australian Open,R128,Grand Slams,Hard,97,10,Right,John Isner,Win,"7-6(4), 7-6(6), 6-7(4), 7-6(5)",40,6,0.58,0.85,0.66,0.77,1,2,0.50,0.13,0.39,0.19,1,3,0.33,0.49,23/24,0.96,1/24,0.04,24/48,0.50,4,4,3,2019-01-12,2019-01-28
72,ReillyOpelka,2019-01-07,Sydney,R16,ATP,Hard,102,29,Right,Alex De Minaur,Lose,"4-6, 6-7(5)",17,3,0.62,0.79,0.48,0.67,6,7,0.86,0.12,0.30,0.20,0,0,,0.46,10/11,0.91,0/11,0.00,10/22,0.45,2,1,0,2019-01-05,2019-01-14
73,ReillyOpelka,2019-01-07,Sydney,R32,ATP,Hard,102,65,Left,Albert Ramos,Win,"6-3, 6-4",16,0,0.73,0.92,0.62,0.84,0,0,,0.20,0.61,0.34,2,5,0.40,0.58,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2019-01-05,2019-01-14
74,ReillyOpelka,2019-01-07,Sydney,Q2,ATP,Hard,102,78,Right,Taro Daniel,Win,"6-7(5), 6-4, 6-4",26,6,0.62,0.82,0.51,0.70,3,3,1.00,0.28,0.43,0.33,2,10,0.20,0.51,16/16,1.00,2/16,0.12,18/32,0.56,3,1,0,2019-01-05,2019-01-14
75,ReillyOpelka,2019-01-07,Sydney,Q1,ATP,Hard,102,82,Right,Pablo Andujar,Win,"6-1, 7-5",20,1,0.68,0.92,0.59,0.81,5,5,1.00,0.33,0.41,0.36,3,6,0.50,0.60,10/10,1.00,3/9,0.33,13/19,0.68,2,0,0,2019-01-05,2019-01-14
